 186.32 	 -139.66 
 186.79 	 -139.66 
 187.26 	 -139.66 
 187.73 	 -100.79 
 188.20 	 -58.87 
 188.67 	 -106.32 
 189.13 	 -85.76 
 189.60 	 -64.97 
 190.07 	 -21.24 
 190.54 	 -104.07 
 191.01 	 -79.21 
 191.48 	 -89.60 
 191.95 	 -128.36 
 192.41 	 -63.05 
 192.88 	 -41.81 
 193.35 	 -24.18 
 193.82 	 -49.04 
 194.29 	 -105.31 
 194.76 	 -85.53 
 195.22 	 -31.07 
 195.69 	 -35.93 
 196.16 	 -25.76 
 196.63 	 -63.61 
 197.10 	 54.35 
 197.56 	 490.38 
 198.03 	 523.83 
 198.50 	 444.73 
 198.97 	 424.06 
 199.43 	 467.22 
 199.90 	 434.56 
 200.37 	 483.49 
 200.84 	 440.67 
 201.30 	 539.87 
 201.77 	 513.55 
 202.24 	 481.46 
 202.71 	 484.62 
 203.17 	 460.67 
 203.64 	 382.81 
 204.11 	 453.10 
 204.58 	 493.32 
 205.04 	 413.21 
 205.51 	 476.48 
 205.98 	 480.44 
 206.44 	 408.92 
 206.91 	 445.64 
 207.38 	 381.80 
 207.84 	 394.34 
 208.31 	 436.26 
 208.78 	 381.35 
 209.24 	 469.25 
 209.71 	 391.97 
 210.18 	 452.19 
 210.64 	 450.84 
 211.11 	 431.74 
 211.58 	 413.10 
 212.04 	 448.12 
 212.51 	 411.18 
 212.98 	 440.55 
 213.44 	 363.38 
 213.91 	 494.79 
 214.37 	 371.18 
 214.84 	 437.84 
 215.31 	 400.33 
 215.77 	 437.39 
 216.24 	 465.75 
 216.70 	 357.96 
 217.17 	 417.73 
 217.63 	 455.69 
 218.10 	 385.64 
 218.57 	 460.21 
 219.03 	 401.57 
 219.50 	 436.03 
 219.96 	 415.13 
 220.43 	 378.41 
 220.89 	 408.92 
 221.36 	 402.25 
 221.82 	 404.06 
 222.29 	 376.71 
 222.75 	 376.94 
 223.22 	 378.86 
 223.68 	 362.48 
 224.15 	 367.67 
 224.61 	 375.58 
 225.08 	 415.24 
 225.54 	 381.91 
 226.01 	 409.25 
 226.47 	 394.90 
 226.94 	 392.65 
 227.40 	 322.25 
 227.87 	 418.63 
 228.33 	 467.45 
 228.80 	 385.98 
 229.26 	 377.73 
 229.72 	 375.81 
 230.19 	 373.66 
 230.65 	 363.95 
 231.12 	 392.31 
 231.58 	 377.62 
 232.05 	 369.37 
 232.51 	 340.89 
 232.97 	 437.05 
 233.44 	 367.33 
 233.90 	 393.21 
 234.37 	 444.06 
 234.83 	 416.60 
 235.29 	 432.42 
 235.76 	 344.17 
