# Emission
# Column format:
# Wavelength (nm)	Emission angle (deg)	C+ (W*m^-2*sr^-1*nm^-1)	
4.560000E2	4.200000E1	3.181875E-6
4.560000E2	4.400000E1	2.353737E-6
4.560000E2	4.600000E1	2.094902E-6
4.560000E2	4.800000E1	1.993776E-6
4.560000E2	5.000000E1	1.953029E-6
4.560000E2	5.200000E1	1.938847E-6
4.560000E2	5.400000E1	1.937145E-6
4.560000E2	5.600000E1	1.941171E-6
4.560000E2	5.800000E1	1.947177E-6
4.560000E2	6.000000E1	1.952671E-6
4.560000E2	6.200000E1	1.955640E-6
4.560000E2	6.400000E1	1.954143E-6
4.560000E2	6.600000E1	1.946045E-6
4.560000E2	6.800000E1	1.928791E-6
4.560000E2	7.000000E1	1.899150E-6
4.560000E2	7.200000E1	1.852882E-6
4.560000E2	7.400000E1	1.784305E-6
4.560000E2	7.600000E1	1.685767E-6
4.560000E2	7.800000E1	1.547195E-6
4.560000E2	8.000000E1	1.356350E-6
4.580000E2	0.000000E0	3.248268E-6
4.580000E2	2.000000E0	3.243851E-6
4.580000E2	4.000000E0	3.230643E-6
4.580000E2	6.000000E0	3.208765E-6
4.580000E2	8.000000E0	3.178423E-6
4.580000E2	1.000000E1	3.139896E-6
4.580000E2	1.200000E1	3.093538E-6
4.580000E2	1.400000E1	3.039772E-6
4.580000E2	1.600000E1	2.979081E-6
4.580000E2	1.800000E1	2.912003E-6
4.580000E2	2.000000E1	2.839127E-6
4.580000E2	2.200000E1	2.761083E-6
4.580000E2	2.400000E1	2.678554E-6
4.580000E2	2.600000E1	2.592287E-6
4.580000E2	2.800000E1	2.503160E-6
4.580000E2	3.000000E1	2.412322E-6
4.580000E2	3.200000E1	2.321559E-6
4.580000E2	3.400000E1	2.234290E-6
4.580000E2	3.600000E1	2.158662E-6
4.580000E2	3.800000E1	2.120146E-6
4.580000E2	4.000000E1	2.251797E-6
4.580000E2	4.200000E1	2.810270E-6
4.580000E2	4.400000E1	2.081242E-6
4.580000E2	4.600000E1	1.849004E-6
4.580000E2	4.800000E1	1.754145E-6
4.580000E2	5.000000E1	1.711941E-6
4.580000E2	5.200000E1	1.693135E-6
4.580000E2	5.400000E1	1.685581E-6
4.580000E2	5.600000E1	1.683448E-6
4.580000E2	5.800000E1	1.683472E-6
4.580000E2	6.000000E1	1.683460E-6
4.580000E2	6.200000E1	1.681627E-6
4.580000E2	6.400000E1	1.676243E-6
4.580000E2	6.600000E1	1.665416E-6
4.580000E2	6.800000E1	1.646893E-6
4.580000E2	7.000000E1	1.617850E-6
4.580000E2	7.200000E1	1.574608E-6
4.580000E2	7.400000E1	1.512291E-6
4.580000E2	7.600000E1	1.424406E-6
4.580000E2	7.800000E1	1.302552E-6
4.580000E2	8.000000E1	1.136784E-6
4.600000E2	0.000000E0	3.342750E-6
4.600000E2	2.000000E0	3.338113E-6
4.600000E2	4.000000E0	3.324248E-6
4.600000E2	6.000000E0	3.301285E-6
4.600000E2	8.000000E0	3.269442E-6
4.600000E2	1.000000E1	3.229018E-6
4.600000E2	1.200000E1	3.180394E-6
4.600000E2	1.400000E1	3.124022E-6
4.600000E2	1.600000E1	3.060422E-6
4.600000E2	1.800000E1	2.990174E-6
4.600000E2	2.000000E1	2.913913E-6
4.600000E2	2.200000E1	2.832321E-6
4.600000E2	2.400000E1	2.746136E-6
4.600000E2	2.600000E1	2.656164E-6
4.600000E2	2.800000E1	2.563346E-6
4.600000E2	3.000000E1	2.468897E-6
4.600000E2	3.200000E1	2.374684E-6
4.600000E2	3.400000E1	2.284236E-6
4.600000E2	3.600000E1	2.205915E-6
4.600000E2	3.800000E1	2.165839E-6
4.600000E2	4.000000E1	2.300724E-6
4.600000E2	4.200000E1	2.933957E-6
4.600000E2	4.400000E1	2.175923E-6
4.600000E2	4.600000E1	1.929306E-6
4.600000E2	4.800000E1	1.824145E-6
4.600000E2	5.000000E1	1.773385E-6
4.600000E2	5.200000E1	1.747107E-6
4.600000E2	5.400000E1	1.732912E-6
4.600000E2	5.600000E1	1.724826E-6
4.600000E2	5.800000E1	1.719470E-6
4.600000E2	6.000000E1	1.714552E-6
4.600000E2	6.200000E1	1.708187E-6
4.600000E2	6.400000E1	1.698550E-6
4.600000E2	6.600000E1	1.683654E-6
4.600000E2	6.800000E1	1.661154E-6
4.600000E2	7.000000E1	1.628129E-6
4.600000E2	7.200000E1	1.580817E-6
4.600000E2	7.400000E1	1.514276E-6
4.600000E2	7.600000E1	1.422011E-6
4.600000E2	7.800000E1	1.295754E-6
4.600000E2	8.000000E1	1.125981E-6
4.620000E2	0.000000E0	3.131063E-6
4.620000E2	2.000000E0	3.126632E-6
4.620000E2	4.000000E0	3.113382E-6
4.620000E2	6.000000E0	3.091440E-6
4.620000E2	8.000000E0	3.061017E-6
4.620000E2	1.000000E1	3.022404E-6
4.620000E2	1.200000E1	2.975969E-6
4.620000E2	1.400000E1	2.922154E-6
4.620000E2	1.600000E1	2.861467E-6
4.620000E2	1.800000E1	2.794475E-6
4.620000E2	2.000000E1	2.721800E-6
4.620000E2	2.200000E1	2.644113E-6
4.620000E2	2.400000E1	2.562137E-6
4.620000E2	2.600000E1	2.476664E-6
4.620000E2	2.800000E1	2.388607E-6
4.620000E2	3.000000E1	2.299138E-6
4.620000E2	3.200000E1	2.210029E-6
4.620000E2	3.400000E1	2.124591E-6
4.620000E2	3.600000E1	2.050622E-6
4.620000E2	3.800000E1	2.012454E-6
4.620000E2	4.000000E1	2.137696E-6
4.620000E2	4.200000E1	2.786787E-6
4.620000E2	4.400000E1	2.070313E-6
4.620000E2	4.600000E1	1.831767E-6
4.620000E2	4.800000E1	1.725756E-6
4.620000E2	5.000000E1	1.671010E-6
4.620000E2	5.200000E1	1.639694E-6
4.620000E2	5.400000E1	1.620268E-6
4.620000E2	5.600000E1	1.607141E-6
4.620000E2	5.800000E1	1.597114E-6
4.620000E2	6.000000E1	1.587992E-6
